Numero de documentos del corpus: 3
Palabra: .!&        Frec: 1     LogProb: -12.60772047710005
Palabra: .!(:       Frec: 1     LogProb: -12.60772047710005
Palabra: .!+        Frec: 0     LogProb: -13.300867657659996
Palabra: .#         Frec: 1     LogProb: -12.60772047710005
Palabra: .&         Frec: 7     LogProb: -11.22142611598016
Palabra: .&#        Frec: 1     LogProb: -12.60772047710005
Palabra: .'         Frec: 1     LogProb: -12.60772047710005
Palabra: .';)---    Frec: 0     LogProb: -13.300867657659996
Palabra: .(         Frec: 8     LogProb: -11.103643080323776
Palabra: .(*        Frec: 0     LogProb: -13.300867657659996
Palabra: .(:        Frec: 4     LogProb: -11.691429745225896
Palabra: .(;        Frec: 0     LogProb: -13.300867657659996
Palabra: .)         Frec: 26    LogProb: -10.005030791655667
Palabra: .))        Frec: 1     LogProb: -12.60772047710005
Palabra: .)-:       Frec: 0     LogProb: -13.300867657659996
Palabra: .*         Frec: 3     LogProb: -11.914573296540105
Palabra: .-         Frec: 4     LogProb: -11.691429745225896
Palabra: .--        Frec: 0     LogProb: -13.300867657659996
Palabra: .-.-       Frec: 0     LogProb: -13.300867657659996
Palabra: ..         Frec: 1159  LogProb: -6.244692373559586
Palabra: ..!        Frec: 3     LogProb: -11.914573296540105
Palabra: ..(        Frec: 3     LogProb: -11.914573296540105
Palabra: ..(:       Frec: 0     LogProb: -13.300867657659996
Palabra: ..)        Frec: 3     LogProb: -11.914573296540105
Palabra: ..*        Frec: 3     LogProb: -11.914573296540105
Palabra: ...        Frec: 862   LogProb: -6.540452966576568
Palabra: ...!       Frec: 2     LogProb: -12.202255368991887
Palabra: ...!!      Frec: 1     LogProb: -12.60772047710005
Palabra: ...#       Frec: 1     LogProb: -12.60772047710005
Palabra: ...&       Frec: 0     LogProb: -13.300867657659996
Palabra: ...&#      Frec: 0     LogProb: -13.300867657659996
Palabra: ...'       Frec: 0     LogProb: -13.300867657659996
Palabra: ...(       Frec: 2     LogProb: -12.202255368991887
Palabra: ...)       Frec: 3     LogProb: -11.914573296540105
Palabra: ...)..:    Frec: 1     LogProb: -12.60772047710005
Palabra: ...):      Frec: 0     LogProb: -13.300867657659996
Palabra: ...*       Frec: 1     LogProb: -12.60772047710005
Palabra: ...-.-     Frec: 0     LogProb: -13.300867657659996
Palabra: ....       Frec: 191   LogProb: -8.043372285632215
Palabra: .....      Frec: 83    LogProb: -8.870050858816683
Palabra: ......     Frec: 46    LogProb: -9.450720055949937
Palabra: ......*    Frec: 0     LogProb: -13.300867657659996
Palabra: .......    Frec: 31    LogProb: -9.835131754860269
Palabra: ........   Frec: 25    LogProb: -10.042771119638514
Palabra: .........  Frec: 19    LogProb: -10.305135384106006
Palabra: .......... Frec: 16    LogProb: -10.46765431360378
Palabra: ........... Frec: 14    LogProb: -10.592817456557786
Palabra: ............ Frec: 11    LogProb: -10.815961007871996
Palabra: .............. Frec: 10    LogProb: -10.902972384861625
Palabra: ............... Frec: 9     LogProb: -10.998282564665951
Palabra: ................ Frec: 8     LogProb: -11.103643080323776
Palabra: ................. Frec: 7     LogProb: -11.22142611598016
Palabra: .................. Frec: 6     LogProb: -11.354957508604683
Palabra: ..................... Frec: 3     LogProb: -11.914573296540105
Palabra: ....................... Frec: 2     LogProb: -12.202255368991887
Palabra: ........................ Frec: 1     LogProb: -12.60772047710005
Palabra: ............................. Frec: 0     LogProb: -13.300867657659996
Palabra: ........................:) Frec: 0     LogProb: -13.300867657659996
Palabra: ..................:/ Frec: 0     LogProb: -13.300867657659996
Palabra: .....?:)   Frec: 0     LogProb: -13.300867657659996
Palabra: ....;)     Frec: 0     LogProb: -13.300867657659996
Palabra: ....=/     Frec: 0     LogProb: -13.300867657659996
Palabra: ...:       Frec: 1     LogProb: -12.60772047710005
Palabra: ...:(      Frec: 0     LogProb: -13.300867657659996
Palabra: ...:)      Frec: 0     LogProb: -13.300867657659996
Palabra: ...:-      Frec: 0     LogProb: -13.300867657659996
Palabra: ...:-)     Frec: 0     LogProb: -13.300867657659996
Palabra: ...:/      Frec: 0     LogProb: -13.300867657659996
Palabra: ...:|      Frec: 0     LogProb: -13.300867657659996
Palabra: ...;))     Frec: 1     LogProb: -12.60772047710005
Palabra: ...;-)     Frec: 0     LogProb: -13.300867657659996
Palabra: ...;-))    Frec: 0     LogProb: -13.300867657659996
Palabra: ...=       Frec: 0     LogProb: -13.300867657659996
Palabra: ...=(      Frec: 0     LogProb: -13.300867657659996
Palabra: ...=((((((( Frec: 0     LogProb: -13.300867657659996
Palabra: ...=]      Frec: 0     LogProb: -13.300867657659996
Palabra: ...?       Frec: 6     LogProb: -11.354957508604683
Palabra: ..:        Frec: 2     LogProb: -12.202255368991887
Palabra: ..:'(      Frec: 0     LogProb: -13.300867657659996
Palabra: ..:(       Frec: 0     LogProb: -13.300867657659996
Palabra: ..:)       Frec: 0     LogProb: -13.300867657659996
Palabra: ..:/       Frec: 0     LogProb: -13.300867657659996
Palabra: ..;)       Frec: 1     LogProb: -12.60772047710005
Palabra: ..=)       Frec: 0     LogProb: -13.300867657659996
Palabra: ..?        Frec: 10    LogProb: -10.902972384861625
Palabra: ..????     Frec: 1     LogProb: -12.60772047710005
Palabra: ./:        Frec: 0     LogProb: -13.300867657659996
Palabra: .:         Frec: 4     LogProb: -11.691429745225896
Palabra: .:'(       Frec: 0     LogProb: -13.300867657659996
Palabra: .:(        Frec: 0     LogProb: -13.300867657659996
Palabra: .:(&       Frec: 0     LogProb: -13.300867657659996
Palabra: .:(:       Frec: 0     LogProb: -13.300867657659996
Palabra: .:)        Frec: 0     LogProb: -13.300867657659996
Palabra: .:)#       Frec: 0     LogProb: -13.300867657659996
Palabra: .:)(       Frec: 0     LogProb: -13.300867657659996
Palabra: .:)---     Frec: 0     LogProb: -13.300867657659996
Palabra: .:-        Frec: 0     LogProb: -13.300867657659996
Palabra: .:-(       Frec: 0     LogProb: -13.300867657659996
Palabra: .:-)       Frec: 0     LogProb: -13.300867657659996
Palabra: .:-)(      Frec: 0     LogProb: -13.300867657659996
Palabra: .:/        Frec: 0     LogProb: -13.300867657659996
Palabra: .::        Frec: 0     LogProb: -13.300867657659996
Palabra: .:]        Frec: 0     LogProb: -13.300867657659996
Palabra: .:|        Frec: 0     LogProb: -13.300867657659996
Palabra: .:}        Frec: 0     LogProb: -13.300867657659996
Palabra: .;         Frec: 2     LogProb: -12.202255368991887
Palabra: .;)        Frec: 2     LogProb: -12.202255368991887
Palabra: .;-        Frec: 0     LogProb: -13.300867657659996
Palabra: .;-)       Frec: 0     LogProb: -13.300867657659996
Palabra: .;]        Frec: 0     LogProb: -13.300867657659996
Palabra: .;^)       Frec: 0     LogProb: -13.300867657659996
Palabra: .<         Frec: 8     LogProb: -11.103643080323776
Palabra: .=         Frec: 0     LogProb: -13.300867657659996
Palabra: .=(        Frec: 0     LogProb: -13.300867657659996
Palabra: .=)        Frec: 0     LogProb: -13.300867657659996
Palabra: .=))       Frec: 0     LogProb: -13.300867657659996
Palabra: .=/        Frec: 0     LogProb: -13.300867657659996
Palabra: .=]        Frec: 0     LogProb: -13.300867657659996
Palabra: .?         Frec: 23    LogProb: -10.12281382731205
Palabra: .??:       Frec: 1     LogProb: -12.60772047710005
Palabra: .]         Frec: 1     LogProb: -12.60772047710005
Palabra: .^         Frec: 0     LogProb: -13.300867657659996
Palabra: .^^        Frec: 0     LogProb: -13.300867657659996
Palabra: .|:        Frec: 0     LogProb: -13.300867657659996
Palabra: /          Frec: 219   LogProb: -7.907240111307634
Palabra: /.         Frec: 0     LogProb: -13.300867657659996
Palabra: /...       Frec: 0     LogProb: -13.300867657659996
Palabra: /:         Frec: 0     LogProb: -13.300867657659996
Palabra: /?         Frec: 1     LogProb: -12.60772047710005
Palabra: 0          Frec: 250   LogProb: -7.7754147185282125
Palabra: 00         Frec: 61    LogProb: -9.173733272614905
Palabra: 000        Frec: 11    LogProb: -10.815961007871996
Palabra: 0007       Frec: 1     LogProb: -12.60772047710005
Palabra: 00pm       Frec: 1     LogProb: -12.60772047710005
Palabra: 04         Frec: 2     LogProb: -12.202255368991887
Palabra: 05         Frec: 4     LogProb: -11.691429745225896
Palabra: 08         Frec: 11    LogProb: -10.815961007871996
Palabra: 09         Frec: 12    LogProb: -10.73591830019846
Palabra: 0F         Frec: 0     LogProb: -13.300867657659996
Palabra: 0N         Frec: 1     LogProb: -12.60772047710005
Palabra: 0_0        Frec: 1     LogProb: -12.60772047710005
Palabra: 0_o        Frec: 1     LogProb: -12.60772047710005
Palabra: 0n         Frec: 4     LogProb: -11.691429745225896
Palabra: 0rq        Frec: 3     LogProb: -11.914573296540105
Palabra: 0the       Frec: 1     LogProb: -12.60772047710005
Palabra: 0u         Frec: 8     LogProb: -11.103643080323776
Palabra: 1          Frec: 236   LogProb: -7.8328075165248645
Palabra: 10         Frec: 53    LogProb: -9.311883611095721
Palabra: 100        Frec: 11    LogProb: -10.815961007871996
Palabra: 1000       Frec: 3     LogProb: -11.914573296540105
Palabra: 10000      Frec: 0     LogProb: -13.300867657659996
Palabra: 1001       Frec: 0     LogProb: -13.300867657659996
Palabra: 100k       Frec: 1     LogProb: -12.60772047710005
Palabra: 100s       Frec: 1     LogProb: -12.60772047710005
Palabra: 101s       Frec: 1     LogProb: -12.60772047710005
Palabra: 102        Frec: 2     LogProb: -12.202255368991887
Palabra: 1042653    Frec: 0     LogProb: -13.300867657659996
Palabra: 108        Frec: 1     LogProb: -12.60772047710005
Palabra: 10K        Frec: 1     LogProb: -12.60772047710005
Palabra: 10ish      Frec: 1     LogProb: -12.60772047710005
Palabra: 10lbs      Frec: 0     LogProb: -13.300867657659996
Palabra: 10th       Frec: 1     LogProb: -12.60772047710005
Palabra: 11         Frec: 14    LogProb: -10.592817456557786
Palabra: 110        Frec: 1     LogProb: -12.60772047710005
Palabra: 11a        Frec: 1     LogProb: -12.60772047710005
Palabra: 11am       Frec: 0     LogProb: -13.300867657659996
Palabra: 11p        Frec: 1     LogProb: -12.60772047710005
Palabra: 11pm       Frec: 0     LogProb: -13.300867657659996
Palabra: 12         Frec: 21    LogProb: -10.20982520430168
Palabra: 1200       Frec: 1     LogProb: -12.60772047710005
Palabra: 123        Frec: 1     LogProb: -12.60772047710005
Palabra: 125mg      Frec: 1     LogProb: -12.60772047710005
